证券代码,证券简称,实际控制人名称,实际控制人属性,公司中文名称,注册地址,省份,流通市值,统一社会信用代码
600863.SH,内蒙华电,国务院国有资产监督管理委员会,国资委,内蒙古蒙电华能热电股份有限公司,内蒙古自治区呼和浩特市锡林南路218号,内蒙古自治区,"22,060,880,801.1800",91150000114123615F
000611.SZ,*ST天首,邱士杰,个人,内蒙古天首科技发展股份有限公司,内蒙古自治区包头市青山区钢铁大街7号楼正翔国际广场B6号楼,内蒙古自治区,"1,135,081,993.9200",91150000114123543N
603112.SH,华翔股份,"王春翔,王晶,王渊",个人,山西华翔集团股份有限公司,山西省临汾市洪洞县甘亭镇华林村,山西省,"6,295,864,320.0000",911410006838069266
002753.SZ,永东股份,"靳彩红,刘东良",个人,山西永东化工股份有限公司,山西省运城市稷山县西社镇高渠村,山西省,"3,345,176,387.5200",91140800719861645D
000831.SZ,五矿稀土,中国五矿集团有限公司,中央国有企业,五矿稀土股份有限公司,山西省运城市解州镇新建路36号,山西省,"30,230,998,394.4200",911408007011965525
300158.SZ,振东制药,李安平,个人,山西振东制药股份有限公司,山西省长治市上党区光明南路振东科技园,山西省,"8,620,680,197.4000",91140400729655415C
003002.SZ,壶化股份,秦跃中,个人,山西壶化集团股份有限公司,山西省长治市壶关经济开发区化工路1号,山西省,"2,580,000,000.0000",91140400111050393D
300254.SZ,仟源医药,,,山西仟源医药集团股份有限公司,山西省大同市经济技术开发区湖滨大街53号,山西省,"2,601,148,208.6100",91140200770127753X
831832.BJ,科达自控,"付国军,李惠勇",个人,山西科达自控股份有限公司,"山西省太原市综改区学府园区开拓巷12号10幢(创业大楼B座三层,一层东部)",山西省,"1,157,929,800.0000",911401007246191751
002640.SZ,*ST跨境,广州经济技术开发区管理委员会,地方政府,跨境通宝电子商务股份有限公司,山西省太原市建设南路632号,山西省,"4,549,480,683.6000",911400007460463205
601001.SH,晋控煤业,山西省人民政府国有资产监督管理委员会,地方国资委,晋能控股山西煤业股份有限公司,山西省大同市矿区新平旺,山西省,"22,143,051,000.0000",91140000729670025D
601699.SH,潞安环能,山西省人民政府国有资产监督管理委员会,地方国资委,山西潞安环保能源开发股份有限公司,山西省长治市城北东街65号,山西省,"47,742,890,832.0000",91140000729666771H
600495.SH,晋西车轴,国务院国有资产监督管理委员会,国资委,晋西车轴股份有限公司,山西省太原市高新技术开发区长治路436号科祥大厦,山西省,"4,349,487,189.6000",91140000725909617E
600546.SH,山煤国际,山西省人民政府国有资产监督管理委员会,地方国资委,山煤国际能源集团股份有限公司,山西省太原市小店区长风街115号,山西省,"24,324,736,837.8000",911400007248849727
600348.SH,华阳股份,山西省人民政府国有资产监督管理委员会,地方国资委,山西华阳集团新能股份有限公司,山西省阳泉市矿区桃北西街2号,山西省,"27,368,900,000.0000",9114000071599263XM
600539.SH,狮头股份,吴旭,个人,太原狮头水泥股份有限公司,山西省太原市万柏林区开城街1号,山西省,"1,858,400,000.0000",91140000715931861P
000767.SZ,晋控电力,山西省人民政府国有资产监督管理委员会,地方国资委,晋能控股山西电力股份有限公司,山西省太原市晋阳街南一条10号1幢-1-22层,山西省,"11,415,455,632.4900",911400007159303324
000983.SZ,山西焦煤,山西省人民政府国有资产监督管理委员会,地方国资委,山西焦煤能源集团股份有限公司,山西省太原市西矿街318号,山西省,"45,471,816,000.0000",91140000713676510D
600281.SH,华阳新材,山西省人民政府国有资产监督管理委员会,地方国资委,山西华阳新材料股份有限公司,山西省太原市山西转型综合改革示范区科技创新城正阳街87号,山西省,"2,736,618,773.0000",911400007136720695
600123.SH,兰花科创,晋城市人民政府国有资产监督管理委员会,地方国资委,山西兰花科技创业股份有限公司,山西省晋城市城区凤台东街2288号兰花科技大厦,山西省,"13,571,712,000.0000",91140000713630037E
601006.SH,大秦铁路,中国国家铁路集团有限公司,中央国有企业,大秦铁路股份有限公司,山西省大同市站北街14号,山西省,"99,459,614,687.2500",91140000710932953T
000968.SZ,蓝焰控股,山西省人民政府国有资产监督管理委员会,地方国资委,山西蓝焰控股股份有限公司,山西省太原市万柏林区和平南路83号,山西省,"7,740,021,280.0000",911400007011380105
600351.SH,亚宝药业,任武贤,个人,亚宝药业集团股份有限公司,山西省运城市芮城县富民路43号,山西省,"5,921,300,176.8700",91140000701108049W
600169.SH,太原重工,山西省人民政府国有资产监督管理委员会,地方国资委,太原重工股份有限公司,山西省太原市万柏林区玉河街53号,山西省,"8,566,173,655.0000",91140000701013306H
600392.SH,盛和资源,中华人民共和国财政部,中央国家机关,盛和资源控股股份有限公司,四川省成都市双流区西航港街道成新大件路289号1001室,四川省,"28,135,328,084.0100",91140000701012581E
000825.SZ,太钢不锈,国务院国有资产监督管理委员会,国资委,山西太钢不锈钢股份有限公司,山西省太原市尖草坪街2号,山西省,"39,759,809,616.0800",91140000701011888X
600617.SH,国新能源,山西省人民政府国有资产监督管理委员会,地方国资委,山西省国新能源股份有限公司,山西省太原市高新技术产业开发区中心街6号,山西省,"5,187,121,142.0200",91140000607220384L
000673.SZ,*ST当代,王玲玲,个人,当代东方投资股份有限公司,山西省大同市口泉,山西省,"1,602,896,339.2400",91140000602168003F
300486.SZ,东杰智能,淄博市财政局,地方政府,东杰智能科技集团股份有限公司,山西省太原市尖草坪区新兰路51号,山西省,"3,922,815,526.6500",91140000602064271C
000795.SZ,英洛华,东阳市横店社团经济企业联合会,其他,英洛华科技股份有限公司,浙江省金华市东阳市横店镇工业大道196号1号楼,浙江省,"8,049,157,131.3000",91140000276205461E
600157.SH,永泰能源,王广西,个人,永泰能源股份有限公司,山西省晋中市灵石县翠峰路79号,山西省,"37,992,376,687.9500",91140000267171001C
000403.SZ,派林生物,,,派斯双林生物制药股份有限公司,山西省太原市晋源区长兴南街8号阳光城环球金融中心3004室,山西省,"17,868,570,924.9200",91140000160963703Y
000723.SZ,美锦能源,"高反娥,姚俊花,姚俊杰,姚俊良,姚俊卿,姚三俊,姚四俊",个人,山西美锦能源股份有限公司,山西省太原市清徐县贯中大厦,山西省,"53,506,496,231.4400",91140000158164363G
000737.SZ,北方铜业,山西省人民政府国有资产监督管理委员会,地方国资委,北方铜业(山西)股份有限公司,山西省运城市红旗东街376号,山西省,"12,814,858,087.4100",91140000113638887N
600740.SH,山西焦化,山西省人民政府国有资产监督管理委员会,地方国资委,山西焦化股份有限公司,山西省临汾市洪洞县广胜寺镇,山西省,"14,809,060,270.1200",91140000113273064E
600408.SH,ST安泰,李安民,个人,山西安泰集团股份有限公司,山西省晋中市介休市义安镇义安村义安镇政府西100米,山西省,"3,070,740,000.0000",91140000113036931N
600809.SH,山西汾酒,山西省人民政府国有资产监督管理委员会,地方国资委,山西杏花村汾酒厂股份有限公司,山西省汾阳市杏花村,山西省,"326,990,651,696.0000",911400001123599660
002360.SZ,同德化工,张云升,个人,山西同德化工股份有限公司,山西省忻州市河曲县文笔镇焦尾城大茂口,山西省,"3,125,137,592.2000",91140000112220278L
000755.SZ,山西路桥,山西省人民政府国有资产监督管理委员会,地方国资委,山西路桥股份有限公司,山西省临汾市洪洞县赵城镇,山西省,"6,353,453,148.6800",91140000110055862W
600234.SH,科新发展,黄绍嘉,个人,山西科新发展股份有限公司,山西省太原市迎泽区迎泽大街289号,山西省,"2,346,937,498.6200",9114000011002787XQ
600780.SH,通宝能源,山西省人民政府国有资产监督管理委员会,地方国资委,山西通宝能源股份有限公司,山西省太原市长治路272号,山西省,"4,333,779,536.9400",911400001100190014
002500.SZ,山西证券,山西省财政厅,地方政府,山西证券股份有限公司,山西省太原市府西街69号山西国际贸易中心东塔楼29层,山西省,"20,138,618,378.6700",91140000110013881E
600559.SH,老白干酒,衡水市财政局,地方政府,河北衡水老白干酒业股份有限公司,河北省衡水市人民东路809号,河北省,"20,323,560,606.6000",911311007216760190
603156.SH,养元饮品,姚奎章,个人,河北养元智汇饮品股份有限公司,"河北省衡水市经济开发区北区新区六路南,滏阳四路以西",河北省,"30,941,318,520.0000",91131100601682537K
300990.SZ,同飞股份,"李丽,王淑芬,张国山,张浩雷",个人,三河同飞制冷股份有限公司,河北省廊坊市三河市火车站进站路3号,河北省,"4,128,800,000.0000",91131082601219411Y
832171.BJ,志晟信息,"穆志刚,阎梅",个人,河北志晟信息技术股份有限公司,河北省廊坊市广阳区新华路50号万达广场B座1-1601,河北省,"849,977,837.0400",91131000758938625A
600965.SH,福成股份,"李福成,李高生",个人,河北福成五丰食品股份有限公司,河北省廊坊市三河市燕郊经济技术开发区,河北省,"5,280,621,159.7500",911310007216883860
600340.SH,华夏幸福,王文学,个人,华夏幸福基业股份有限公司,河北省廊坊市固安县京开路西侧三号路北侧一号,河北省,"11,193,240,178.1200",911310006096709523
002146.SZ,荣盛发展,耿建明,个人,荣盛房地产发展股份有限公司,河北省廊坊市经济技术开发区祥云道81号,河北省,"15,696,871,502.1100",911310002360777257
600149.SH,廊坊发展,廊坊市人民政府国有资产监督管理委员会,地方国资委,廊坊发展股份有限公司,河北省廊坊市广阳区凯创大厦第1幢2单元22层2-2208,河北省,"1,855,180,800.0000",911310001057748114
300107.SZ,建新股份,朱守琛,个人,河北建新化工股份有限公司,河北省沧州市临港化工园区(中捷农场),河北省,"2,819,345,757.4800",911309007502944073
600230.SH,沧州大化,国务院国有资产监督管理委员会,国资委,沧州大化股份有限公司,河北省沧州市运河区永济东路19号,河北省,"7,404,968,582.3800",911309007007142232
002108.SZ,沧州明珠,于桂亭,个人,沧州明珠塑料股份有限公司,河北省沧州市运河区沧石路张庄子工业园区,河北省,"8,351,573,532.1100",911309006013103039
600722.SH,金牛化工,河北省人民政府国有资产监督管理委员会,地方国资委,河北金牛化工股份有限公司,河北省沧州市临港化工园区化工大道,河北省,"3,966,263,711.0800",91130900104363017U
002960.SZ,青鸟消防,,,青鸟消防股份有限公司,河北省张家口市涿鹿涿下路工业园,河北省,"14,006,914,131.6500",91130700730245739F
000923.SZ,河钢资源,河北省人民政府国有资产监督管理委员会,地方国资委,河钢资源股份有限公司,河北省张家口市宣化区东升路21号,河北省,"9,392,769,748.7900",911307007158386594
603176.SH,汇通集团,"张籍文,张中奎,张忠强,张忠山",个人,汇通建设集团股份有限公司,河北省保定市高碑店市世纪东路69号,河北省,"4,853,264,000.0000",91130684776180774A
300446.SZ,*ST乐材,国务院国有资产监督管理委员会,国资委,保定乐凯新材料股份有限公司,河北省保定市和润路569号,河北省,"2,498,304,600.0000",911306057713196269
600155.SH,华创阳安,,,华创阳安股份有限公司,北京市西城区锦什坊街26号楼3层301-2,北京,"15,447,263,034.2400",91130605700838787Q
002342.SZ,巨力索具,"杨会德,杨建国,杨建忠,杨子",个人,巨力索具股份有限公司,河北省保定市徐水县巨力路,河北省,"3,753,600,000.0000",91130600769808009K
300428.SZ,立中集团,臧氏家族,个人,立中四通轻合金集团股份有限公司,河北省保定市清苑区发展西街359号,河北省,"13,338,609,583.3000",911306007183686135
600550.SH,保变电气,国务院国有资产监督管理委员会,国资委,保定天威保变电气股份有限公司,河北省保定市天威西路2222号,河北省,"10,238,898,348.8000",91130600718358175D
600482.SH,中国动力,国务院国有资产监督管理委员会,国资委,中国船舶重工集团动力股份有限公司,河北省保定市涿州市范阳东路3号开发区管委会5楼520室,河北省,"35,888,929,930.1500",911306007109266097
